#;Company;Symbol;Weight;      Price;Chg;% Chg
449;Tapestry Inc.;TPR;0,029356;40,57;0;0,00%
450;DISH Network Corporation Class A;DISH;0,029326;45,12;-0,31;(-0,68%)
451;Mosaic Company;MOS;0,029102;32,15;0;0,00%
452;NRG Energy Inc.;NRG;0,029061;45,43;0;0,00%
453;Henry Schein Inc.;HSIC;0,029054;78,38;0;0,00%
454;Regency Centers Corporation;REG;0,028427;69,49;0,15;-0,22%
455;Wynn Resorts Limited;WYNN;0,027915;100,3;0;0,00%
456;W. R. Berkley Corporation;WRB;0,027469;74,45;0;0,00%
457;BorgWarner Inc.;BWA;0,026971;43,14;0;0,00%
458;Everest Re Group Ltd.;RE;0,026964;256,64;0;0,00%
459;Assurant Inc.;AIZ;0,026906;170,37;0;0,00%
460;Comerica Incorporated;CMA;0,026323;72,31;0;0,00%
461;A. O. Smith Corporation;AOS;0,025951;73,24;0;0,00%
462;CF Industries Holdings Inc.;CF;0,02558;45,43;0;0,00%
463;NiSource Inc;NI;0,025509;25,06;0;0,00%
464;Newell Brands Inc;NWL;0,025075;25,23;-0,43;(-1,68%)
465;Juniper Networks Inc.;JNPR;0,02507;28,98;0;0,00%
466;Invesco Ltd.;IVZ;0,024794;24,64;-0,24;(-0,96%)
467;Lamb Weston Holdings Inc.;LW;0,024552;63,5;-0,08;(-0,13%)
468;Sealed Air Corporation;SEE;0,024417;61,22;0;0,00%
469;Zions Bancorporation N.A.;ZION;0,024403;57,12;0;0,00%
470;DaVita Inc.;DVA;0,024358;132,17;0;0,00%
471;Norwegian Cruise Line Holdings Ltd.;NCLH;0,024089;24,62;0;0,00%
472;Marathon Oil Corporation;MRO;0,024064;11,63;0;0,00%
473;DXC Technology Co.;DXC;0,023599;36,11;0,09;-0,25%
474;Globe Life Inc.;GL;0,023432;94,29;0;0,00%
475;Organon & Co.;OGN;0,023425;35,61;0;0,00%
476;Western Union Company;WU;0,02317;21,72;0;0,00%
477;Molson Coors Beverage Company Class B;TAP;0,023055;46,98;0;0,00%
478;News Corporation Class A;NWSA;0,023041;22,56;0;0,00%
479;Franklin Resources Inc.;BEN;0,023019;32;0;0,00%
480;Pinnacle West Capital Corporation;PNW;0,022936;77,18;0;0,00%
481;Rollins Inc.;ROL;0,022798;39,71;0;0,00%
482;Campbell Soup Company;CPB;0,022596;43,05;0;0,00%
483;Federal Realty Investment Trust;FRT;0,022266;123,23;0,37;-0,30%
484;PVH Corp.;PVH;0,022141;115,18;0;0,00%
485;Huntington Ingalls Industries Inc.;HII;0,021488;203,17;0;0,00%
486;Discovery Inc. Class C;DISCK;0,020969;27,19;0,03;-0,11%
487;Nielsen Holdings Plc;NLSN;0,019737;20,98;0;0,00%
488;APA Corp.;APA;0,019508;19,6;-0,07;(-0,36%)
489;Alaska Air Group Inc.;ALK;0,018684;57,11;0;0,00%
490;People's United Financial Inc.;PBCT;0,018173;16,68;0,35;-2,14%
491;Cabot Oil & Gas Corporation;COG;0,018021;17,81;0;0,00%
492;Hanesbrands Inc.;HBI;0,017562;19,06;0;0,00%
493;Vornado Realty Trust;VNO;0,017252;41,86;0;0,00%
494;Leggett & Platt Incorporated;LEG;0,016817;47,67;0;0,00%
495;IPG Photonics Corporation;IPGP;0,016202;174,22;0;0,00%
496;Ralph Lauren Corporation Class A;RL;0,014733;114,83;0;0,00%
497;Perrigo Co. Plc;PRGO;0,014341;41,85;0;0,00%
498;Unum Group;UNM;0,014045;26,33;-0,08;(-0,30%)
499;Fox Corporation Class B;FOX;0,013797;34,13;0;0,00%
500;Gap Inc.;GPS;0,013741;25,08;-0,03;(-0,12%)
501;NOV Inc.;NOV;0,013451;12,97;0,02;-0,15%
502;Discovery Inc. Class A;DISCA;0,01218;28,33;0,02;-0,07%
503;Under Armour Inc. Class A;UAA;0,011342;23,24;0,09;-0,39%
504;Under Armour Inc. Class C;UA;0,010308;20,72;0,44;-2,17%
505;News Corporation Class B;NWS;0,007102;22,09;-0,04;(-0,18%)
