#;Company;Symbol;Weight;      Price;Chg;% Chg
239;CBRE Group Inc. Class A;CBRE;0,085465;98,56;0;0,00%
240;McKesson Corporation;MCK;0,08515;206,28;0;0,00%
241;Public Service Enterprise Group Inc;PEG;0,084981;64,14;0;0,00%
242;AvalonBay Communities Inc.;AVB;0,084565;232,85;0;0,00%
243;Fastenal Company;FAST;0,083975;55,89;0;0,00%
244;State Street Corporation;STT;0,083905;92,89;0;0,00%
245;Ball Corporation;BLL;0,083413;97,38;0;0,00%
246;Kinder Morgan Inc Class P;KMI;0,083155;16,34;0;0,00%
247;ANSYS Inc.;ANSS;0,082837;364,51;-3,87;(-1,05%)
248;Ameriprise Financial Inc.;AMP;0,082649;273,93;1,58;-0,58%
249;Eversource Energy;ES;0,082639;91,99;0;0,00%
250;D.R. Horton Inc.;DHI;0,082529;95,49;0,53;-0,56%
251;Zebra Technologies Corporation Class A;ZBRA;0,0818;595;4,4;-0,75%
252;AMETEK Inc.;AME;0,081456;135,4;0;0,00%
253;Stanley Black & Decker Inc.;SWK;0,080802;191,1;0;0,00%
254;Zimmer Biomet Holdings Inc.;ZBH;0,080624;146,74;0;0,00%
255;Phillips 66;PSX;0,079447;69,62;0;0,00%
256;WEC Energy Group Inc;WEC;0,079423;96,08;0;0,00%
257;Williams Companies Inc.;WMB;0,079281;24,97;0;0,00%
258;Corning Inc;GLW;0,079149;39,49;0;0,00%
259;Skyworks Solutions Inc.;SWKS;0,078605;183;-0,01;(-0,01%)
260;Copart Inc.;CPRT;0,078467;145,75;0,12;-0,08%
261;Laboratory Corporation of America Holdings;LH;0,078279;306,65;0;0,00%
262;Arthur J. Gallagher & Co.;AJG;0,077783;145,49;0;0,00%
263;Willis Towers Watson Public Limited Company;WLTW;0,077178;228,52;0;0,00%
264;Lennar Corporation Class A;LEN;0,076781;105,7;0,09;-0,09%
265;Equity Residential;EQR;0,076684;85,59;0;0,00%
266;Southwest Airlines Co.;LUV;0,076214;48,86;0;0,00%
267;PACCAR Inc;PCAR;0,075726;84,2;-0,23;(-0,27%)
268;Alexandria Real Estate Equities Inc.;ARE;0,074476;208,42;0;0,00%
269;Old Dominion Freight Line Inc.;ODFL;0,074232;301,15;0;0,00%
270;CDW Corp.;CDW;0,074174;202,7;0;0,00%
271;Generac Holdings Inc.;GNRC;0,074075;455;1,25;-0,28%
272;Albemarle Corporation;ALB;0,074042;241,86;0;0,00%
273;Weyerhaeuser Company;WY;0,071153;36,64;0;0,00%
274;Fifth Third Bancorp;FITB;0,070896;38,71;0,2;-0,51%
275;Etsy Inc.;ETSY;0,070654;220,7;0,32;-0,15%
276;Realty Income Corporation;O;0,070593;72,02;-0,28;(-0,39%)
277;Kansas City Southern;KSU;0,069926;291,63;0;0,00%
278;Gartner Inc.;IT;0,069888;313,35;0;0,00%
279;Valero Energy Corporation;VLO;0,06929;64,7;0;0,00%
280;Republic Services Inc.;RSG;0,069037;125,47;0;0,00%
281;Consolidated Edison Inc.;ED;0,06871;76,3;0;0,00%
282;Garmin Ltd.;GRMN;0,068285;175,69;-0,42;(-0,24%)
283;Synchrony Financial;SYF;0,068239;47,38;0;0,00%
284;Hershey Company;HSY;0,06793;177,99;0;0,00%
285;Delta Air Lines Inc.;DAL;0,067766;40,25;0;0,00%
286;Waters Corporation;WAT;0,067645;423,4;0;0,00%
287;Best Buy Co. Inc.;BBY;0,067468;114,2;0,18;-0,16%
288;Extra Space Storage Inc.;EXR;0,066714;193,71;0;0,00%
289;United Rentals Inc.;URI;0,066469;350,5;-0,87;(-0,25%)
290;Fortive Corp.;FTV;0,065909;75,5;0;0,00%
291;Dover Corporation;DOV;0,065771;174,93;0;0,00%
292;ViacomCBS Inc. Class B;VIAC;0,065492;41,17;-0,11;(-0,27%)
293;LyondellBasell Industries NV;LYB;0,065109;95,73;0;0,00%
294;Xylem Inc.;XYL;0,064752;137,25;0;0,00%
295;Paycom Software Inc.;PAYC;0,063941;497,27;1,01;-0,20%
296;Northern Trust Corporation;NTRS;0,063879;117,35;0;0,00%
297;Hartford Financial Services Group Inc.;HIG;0,063669;68,09;0;0,00%
298;V.F. Corporation;VFC;0,063339;76;-0,23;(-0,30%)
299;Vulcan Materials Company;VMC;0,063094;180,31;0;0,00%
300;Enphase Energy Inc.;ENPH;0,062494;173,7;-0,24;(-0,14%)
301;Catalent Inc;CTLT;0,061906;141,35;1;-0,71%
302;ONEOK Inc.;OKE;0,061685;53,17;0;0,00%
303;International Paper Company;IP;0,061648;59,92;0;0,00%
304;Trimble Inc.;TRMB;0,061594;94,65;-0,21;(-0,22%)
305;DTE Energy Company;DTE;0,061559;120,75;0;0,00%
306;Martin Marietta Materials Inc.;MLM;0,06149;379,43;4,95;-1,32%
307;PPL Corporation;PPL;0,060849;30,09;0;0,00%
308;Kraft Heinz Company;KHC;0,060825;35,89;0,06;-0,17%
309;Tyson Foods Inc. Class A;TSN;0,060171;78,23;0;0,00%
310;Cerner Corporation;CERN;0,059844;77;1,31;-1,73%
311;Nasdaq Inc.;NDAQ;0,059369;199,6;1,07;-0,54%
312;Entergy Corporation;ETR;0,059299;112,56;0;0,00%
313;Ameren Corporation;AEE;0,0592;88,11;0;0,00%
314;Huntington Bancshares Incorporated;HBAN;0,058873;15,25;0;0,00%
315;Tractor Supply Company;TSCO;0,058684;199;0,2;-0,10%
316;Mid-America Apartment Communities Inc.;MAA;0,058394;196,14;0;0,00%
317;Edison International;EIX;0,058338;58,64;-0,01;(-0,02%)
318;Charles River Laboratories International Inc.;CRL;0,058198;449,55;0;0,00%
319;Occidental Petroleum Corporation;OXY;0,05797;25,92;0;0,00%
320;Cooper Companies Inc.;COO;0,057584;455,92;0;0,00%
321;VeriSign Inc.;VRSN;0,057059;220,5;0,27;-0,12%
322;McCormick & Company Incorporated;MKC;0,057011;88,08;0;0,00%
323;Essex Property Trust Inc.;ESS;0,056968;335,58;0;0,00%
324;FLEETCOR Technologies Inc.;FLT;0,056967;261,92;0;0,00%
325;FirstEnergy Corp.;FE;0,056406;39,59;0;0,00%
326;Caesars Entertainment Inc;CZR;0,056076;102,51;-1,05;(-1,01%)
327;Dollar Tree Inc.;DLTR;0,055901;92,8;-0,01;(-0,01%)
328;Teledyne Technologies Incorporated;TDY;0,055527;448,81;0;0,00%
329;STERIS Plc;STE;0,055284;217,82;0;0,00%
330;Ventas Inc.;VTR;0,055243;56,08;-0,23;(-0,41%)
331;PerkinElmer Inc.;PKI;0,055042;190,5;0;0,00%
332;Clorox Company;CLX;0,055034;169,51;0;0,00%
333;Monolithic Power Systems Inc.;MPWR;0,05499;504,44;2,31;-0,46%
334;Qorvo Inc.;QRVO;0,054748;185,05;-0,31;(-0,17%)
335;Expeditors International of Washington Inc.;EXPD;0,054636;123;-0,57;(-0,46%)
336;Ulta Beauty Inc;ULTA;0,054337;381,5;-0,61;(-0,16%)
337;Hologic Inc.;HOLX;0,053814;77,41;-2,84;(-3,54%)
338;Church & Dwight Co. Inc.;CHD;0,053743;84,39;0;0,00%
339;CarMax Inc.;KMX;0,053463;127,15;0;0,00%
340;Expedia Group Inc.;EXPE;0,052937;143,11;0,47;-0,33%
341;Quest Diagnostics Incorporated;DGX;0,05272;155,84;0;0,00%
342;Teradyne Inc.;TER;0,052395;122,5;0,62;-0,51%
343;Domino's Pizza Inc.;DPZ;0,052225;514,5;0;0,00%
344;Ingersoll Rand Inc.;IR;0,052206;52,94;0;0,00%
345;Duke Realty Corporation;DRE;0,052152;53,62;0;0,00%
346;Pool Corporation;POOL;0,052062;496,89;0;0,00%
347;NetApp Inc.;NTAP;0,051966;89,75;-1,6;(-1,75%)
348;Hewlett Packard Enterprise Co.;HPE;0,051903;15,4;-0,08;(-0,52%)
349;Arista Networks Inc.;ANET;0,051868;363,12;0;0,00%
350;Bio-Techne Corporation;TECH;0,051625;513,09;0;0,00%
351;Broadridge Financial Solutions Inc.;BR;0,051507;170,75;0;0,00%
352;Tyler Technologies Inc.;TYL;0,051357;488,1;0;0,00%
353;Healthpeak Properties Inc.;PEAK;0,051314;36,35;0;0,00%
354;Amcor PLC;AMCR;0,051169;12,68;0;0,00%
355;Darden Restaurants Inc.;DRI;0,051047;148;-0,05;(-0,03%)
356;KeyCorp;KEY;0,050707;20,05;0;0,00%
357;Hess Corporation;HES;0,050656;69,91;0;0,00%
358;Regions Financial Corporation;RF;0,050077;19,71;0;0,00%
